station,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,station_distance,bottle,chla,no3,po4,sio2,o2,ph,alk,notes,depth,conductivity,temperature,pressure,scan,fluorescence,oxygen,oxygen2,par,v0,v1,v2,v3,v4,v5,flag,salinity,theta,sigma
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,10,1.147,0.304347826,,,,8.235,,,10.6,38.70675367,14.42301111,10.69077778,2656,0.101142222,262.3881111,6.0134,5.595733333,2.615377778,1.67E-04,4.22E-04,1.78E-04,3.049944444,0.101155556,0,31.65220555,14.42148993,23.51444992
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,11,,0.536231884,,,,,,,5.5,39.76514911,15.61596667,5.491,2736,0.071335889,262.5271111,6.015011111,27.25066667,3.293366667,3.56E-04,2.22E-04,2.22E-04,3.111966667,0.071333333,0,31.63935354,15.61513933,23.2493266
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,12,0.297,0.304347826,,,,8.252,,,2.4,40.19709056,16.11795556,2.462555556,2991,0.018844889,261.2188889,5.984277778,77.33266667,3.739633333,3.33E-04,3.00E-04,1.33E-04,3.131888889,0.018844444,0,31.62033409,16.11757596,23.1233201
C308C-004,6/16/23,14:23:00,,4,2023-06-16T14:23-04:00,-70.9108,41.4757,18.21,31.799,80,,1,0.550380882,0.623188406,,,,,,,11.8,40.97760133,16.70053333,11.829,1550,0.045039556,218.2317778,4.999655556,2.441666667,2.269288889,0,1.56E-04,1.00E-04,2.720155556,0.045033333,0,31.83430671,16.69865848,23.15570303
C308C-004,6/16/23,14:23:00,,4,2023-06-16T14:23-04:00,-70.9108,41.4757,18.21,31.799,80,,10,0.250408894,0.31884058,,,,7.704,,,8.7,41.00139122,16.72751111,8.740888889,1640,0.055737889,221.5974444,5.076722222,9.163677778,2.825722222,3.33E-05,1.78E-04,0,2.761255556,0.055733333,0,31.83460798,16.72612419,23.14962201
C308C-004,6/16/23,14:23:00,,4,2023-06-16T14:23-04:00,-70.9108,41.4757,18.21,31.799,80,,11,2.688509755,0.217391304,,,,7.785,,,5.7,41.64354133,17.41917778,5.699222222,1724,0.069505,240.329,5.505044444,30.06333333,3.336111111,3.33E-05,8.89E-05,1.67E-04,2.984688889,0.069511111,0,31.84153137,17.4182463,22.99361129
C308C-004,6/16/23,14:23:00,,4,2023-06-16T14:23-04:00,-70.9108,41.4757,18.21,31.799,80,,12,1.027878994,0.623188406,,,,7.906,,,2.7,42.269765,18.13904444,2.753555556,1807,0.023193667,237.8623333,5.447488889,83.66411111,3.779477778,2.22E-05,5.56E-05,6.67E-05,2.997466667,0.023188889,0,31.81053777,18.13858094,22.79746312
C308C-005,6/17/23,11:45:00,,4,2023-06-17T11:45-04:00,-70.583,41.4681,18.33,31.796,55,,B,2.259155035,0.449275362,,,,,,,0,,18.33,0,,,,,,,,,,,,,31.796,18.33,22.73976209
C308C-006,6/17/23,15:59:00,,4,2023-06-17T15:59-04:00,-70.4664,41.4935,18.09,31.241,88,,1,2.267799761,0.362318841,,,,8.157,,,20.7,41.71604567,17.76937778,20.79511111,1534,0.062935111,217.5247778,4.981466667,1.00E-12,0.498177778,2.11E-04,3.33E-04,1.00E-04,2.759533333,0.062933333,0,31.62447295,17.76593287,22.7448792
C308C-006,6/17/23,15:59:00,,4,2023-06-17T15:59-04:00,-70.4664,41.4935,18.09,31.241,88,,9,2.253391884,0.68115942,,,,8.123,,,15.7,41.71500244,17.77347778,15.74855556,1667,0.066376667,217.5666667,4.982433333,0.077330556,1.1995,2.78E-04,1.67E-04,2.44E-04,2.763477778,0.066388889,0,31.62215738,17.7708688,22.74192819
C308C-006,6/17/23,15:59:00,,4,2023-06-17T15:59-04:00,-70.4664,41.4935,18.09,31.241,88,,11,1.518590183,0.376811594,,,,8.162,,,5.7,41.70702944,17.77415556,5.692777778,1892,0.059713444,218.6108889,5.006322222,6.570577778,2.682955556,1.78E-04,1.56E-04,3.22E-04,2.774366667,0.059711111,0,31.61837199,17.7732127,22.73847206
C308C-006,6/17/23,15:59:00,,4,2023-06-17T15:59-04:00,-70.4664,41.4935,18.09,31.241,88,,12,2.83835167,0.31884058,,,,8.108,,,2.7,41.69191189,17.79638889,2.729,1959,0.058815222,219.6905556,5.030888889,22.41788889,3.209366667,2.67E-04,5.56E-04,2.56E-04,2.7863,0.0588,0,31.58937828,17.79593661,22.71085886
