station,dttm,tz,dttm_in,dttm_out,date,time_in,utc_in,zd,time_out,lon,lat,temp,sal,fluor,moon_phase,moon_mode,cloud_cover,wind,current,heading,tow_dist,biomass,biodens,phyl_num,phyl_vol,lept_num,lept_vol,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,sarg_ni_piece_tot,sarg_ni_mass_tot,sarg_ni_piece_clump,sarg_ni_mass_clump,sarg_ni_piece_frag,sarg_ni_mass_frag,sarg_nii_piece_tot,sarg_nii_mass_tot,sarg_nii_piece_clump,sarg_nii_mass_clump,sarg_nii_piece_frag,sarg_nii_mass_frag,sarg_nviii_piece_tot,sarg_nviii_mass_tot,sarg_nviii_piece_clump,sarg_nviii_mass_clump,sarg_nviii_piece_frag,sarg_nviii_mass_frag,sarg_fiii_piece_tot,sarg_fiii_mass_tot,sarg_fiii_piece_clump,sarg_fiii_mass_clump,sarg_fiii_piece_frag,sarg_fiii_mass_frag,sarg_other_piece_tot,sarg_other_mass_tot,sarg_other_piece_clump,sarg_other_mass_clump,sarg_other_piece_frag,sarg_other_mass_frag,sarg_mass_tot,sarg_piece_tot,plas_pieces,plas_pellets,plas_density,tar,tow_desc,no3,po4,echo
S285-013-NT,NA,NA,2019-04-07T12:06:00.000Z,2019-04-07T12:37:00.000Z,2019-04-07,12:06:00,NA,11,12:37:00,-176.39833333333334,-40.02,19.1,35.35,4.3,5,risen,NA,"15, 175",0.085/249,253,1752.2,4,0.002282844424152494,0,0,0,0,0,0,0,0,2,0.5,2,0.5,2 fish larvae (0.5ml),0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Light tow, not much there, a few siphonophores",0,0.24590365714925141,-82.7296917292863
S285-014-NT,NA,NA,2019-04-07T23:53:00.000Z,2019-04-07T00:23:00.000Z,2019-04-07,23:53:00,NA,11,00:23:00,-176.38833333333332,-39.73166666666667,19.1,35.22,3.95,5,set,13,"15, 297",0.798/286,220,1118.7,11.9,0.010637346920532762,0,0,0,0,1,0.625,0,0,6,0.45,7,1.075,"6 silver, blue backed-fish (0.45mL)",0,2,NA,2 Physalia physalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"sample contains two small man-o-wars, a myctophid and 10 silvery, blue backed fish, 6 of which are >2cm, in addition to zooplankton and smal organisms. There are some small siphonophores and very little gelatinous plankton.",0,0.03455642378918725,-75.93059419813017
S285-016-NT,NA,NA,2019-04-09T11:34:00.000Z,2019-04-09T12:04:00.000Z,2019-04-09,11:34:00,NA,11,12:04:00,-175.24833333333333,-38.946666666666665,19.4,35.23,3.55,17,risen,20,"21, 245",0.350/340,322,1877,3,0.0015982951518380393,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,"A very light and variable tow. One small salp,several fish larvae, copepods and amphipods, fish eggs.",0.018764856070619035,0.024726319911974996,-89.87963056683213
S285-017-NT,NA,NA,2019-04-09T23:48:00.000Z,2019-04-09T00:18:00.000Z,2019-04-09,23:48:00,NA,11,00:18:00,-174.30333333333334,-38.626666666666665,20,35.31,3.48,26,risen,15,"14, 257",0.092/222,155,1208.9,3.7,0.0030606336338820416,0,0,0,0,7,0.5,0,0,0,0,7,0.5,7 myctophids (0.5mL),0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"There were very few large organisms, many bioluminesence, low biovolume.",0,0.24590365714925141,-80.13033069737462
S285-018-NT,NA,NA,2019-04-10T11:24:00.000Z,2019-04-10T11:54:00.000Z,2019-04-10,11:24:00,NA,11,11:54:00,-173.48166666666665,-38.67333333333333,19.7,35.22,3.09,26,risen,15,"12, 284",0.100/311,60,2267.2,8,0.0035285815102328866,0,0,0,0,0,0,0,0,6,4,6,4,6 long thin silver fish (4 mL),0,8,3,"3 man-o-war (1 mL), 5 siphonophores (2 mL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"We had several man-o-war and fish caught in their tentacles, light tow contents overall",0.12747079212913565,0.07879189123664254,-81.53438946260108
S285-019-NT,NA,NA,2019-04-10T23:00:00.000Z,2019-04-10T23:31:00.000Z,2019-04-10,23:00:00,NA,11,23:31:00,-172.84666666666666,-38.33,20.3,35.4,3.48,26,set,13,"14, 303",0.074/292,34,1504.9,15,0.009967439696989832,0,0,0,0,4,1.75,0,0,17,1.5,21,3.25,17 fish larvae (1.5 ml),0,3,8.5,3 ctenophores (8.5 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"This tow contained fish larvae, myctophids, cteophores and other small gelatinous organisms.",0,0.22132839745622068,-75.18524677554903
S285-020-NT,NA,NA,2019-04-11T11:26:00.000Z,2019-04-11T11:57:00.000Z,2019-04-11,11:26:00,NA,11,11:57:00,-171.885,-37.986666666666665,20,35.17,2.99,36,set,15,"27, 328",0.152/181,55,2294.3,1.3,0.0010753577632558523,0,0,0,0,0,0,0,0,6,0.1,6,0.1,6 fish larvae (0.1 mL),0,1,0.2,1 salp (0.2 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Very little biomass, a lot of fish larvae, blue and silver. Some blue copepods, one salp and jellyfish.",0.09560870742232903,0.029641371850581143,-78.00482893971875
S285-021-NT,NA,NA,2019-04-12T11:53:00.000Z,2019-04-12T12:24:00.000Z,2019-04-12,11:53:00,NA,11,12:24:00,-169.95166666666665,-37.515,19.9,35.06,3.04,47,set,3,"9, 251",0.190/296,24,1694.15,3,0.0017707995159814654,0,0,0,0,0,0,0,0,6,0.3,6,0.3,6 Fish Larvae (.3ml),0,2,1.1,1 Siphonophore (.5ml) 1 Salp (.6ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Pretty skimpy, Shrimp of a tow.",NA,0.14760261837712854,-79.38530189205295
S285-022-NT,NA,NA,2019-04-12T23:41:00.000Z,2019-04-12T01:14:00.000Z,2019-04-12,23:41:00,NA,11,01:14:00,-168.83,-36.94833333333333,20.06,35.05,NA,47,risen,40,"4, 85",0.164/122,61,1955.64,68,0.03477122578797734,0,0,0,0,25,3,0,0,0,0,25,3,0,0,32,12.3,2 Vellela Vellela (.4ml) 27 Siphonophore (11.90) 3 Gelatinous Nekton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,"Tow was dominated by siphonophores, myctophids, one piece of plastic. Mostly gelatinous nekton",-0.015,0.28030902071949443,-74.06809434125636
S285-023-NT,NA,NA,2019-04-13T11:22:00.000Z,2019-04-13T11:52:00.000Z,2019-04-13,11:22:00,NA,11,11:52:00,-167.785,-36.60166666666667,20.1,35.19,2.95,69,Set,15,"21, 250",0.179/64,338,1637.38,2,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1 Vellela Vellela (1ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"2ml biovolume 1 Vellela Vellela, high abundance of small fish and copepods. Overall not much here.",NA,0.333,-76.70419147422581
S285-024-NT,NA,NA,2019-04-14T11:27:00.000Z,2019-04-14T11:57:00.000Z,2019-04-14,11:27:00,NA,11,11:57:00,-165.82833333333335,-35.66166666666667,20.9,35.36,3.29,69,set,68,"25, 273",0.341/028,20,2695.6,0.4,1.4838996883810655e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,"When retrieving the cod end jar, the wind blew upside down into the net so contents in rinse bucket likely contain pristine zooplankton. There were no nekton > 2 cm, with a few very small myctophids and less total biovolume than other tows.",0.266,0.151,-81.66811033932696
S285-025-NT,NA,NA,2019-04-14T23:12:00.000Z,2019-04-14T23:43:00.000Z,2019-04-14,23:12:00,NA,11,23:43:00,-165.08833333333334,-35.175,20.6,35.37,3.26,69,risen,100,"19, 270",0.194/286,337,1513.5,8,0.005285761480013214,0,0,0,0,0,0,0,0,0,0,0,0,one long skinny fish larvae (0.1 mL) and one lantern fish larvae (0.2 mL),0,0,0,one vellela vellela (0.2 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"tow consisted of a few little fish larvae, one Vellela vellela, overall not very much present in tow, little biovolume.",0.173,0.235,-81.929570380119
S285-029-NT,NA,NA,2019-04-17T12:04:00.000Z,2019-04-17T12:36:00.000Z,2019-04-17,12:04:00,NA,11,12:36:00,-160.25333333333333,-33.82833333333333,21.1,35.48,3.06,95,set,47,"12, 214",0.125/080,311,2203.93,4,0.001814939675942521,0,0,0,0,0,0,0,0,1,0.5,1,0.5,one small fish (0.5 mL),0,1,3,1 siphonophore (3 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Many blue copepods, some small silver fish.",0.2,0.347,-83.8843383541421
S285-030-NT,NA,NA,2019-04-17T22:59:00.000Z,2019-04-17T23:29:00.000Z,2019-04-17,22:59:00,NA,11,23:29:00,-159.42666666666668,-33.31166666666667,21.7,35.56,3.43,95,Risen,50,"20, 275",0.077/263,9,1285.57,6,0.0046671904291481605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7 Salps (4ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Lots of shrimp and copepods, tow was mostly pink with some gelatinous organisms.",0.074,0.249,-80.82329640134994
S285-032-NT,NA,NA,2019-04-18T13:18:00.000Z,2019-04-18T13:48:00.000Z,2019-04-18,13:18:00,NA,11,13:48:00,-158.55166666666668,-32.848333333333336,21.5,35.51,3.18,98,Set,30,"8, 220",0.092/064,349,2021.5,2.3,0.0011377689834281472,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Tow contains blue buttons, fish larva, and hyperiid amphipods and other gelatinous nekton but nothing over 2cm. Lots of blue biomass",0.143,-0.013,-79.93709731322815
S285-033-NT,NA,NA,2019-04-18T22:37:00.000Z,2019-04-18T00:09:00.000Z,2019-04-18,22:37:00,NA,11,00:09:00,-158.22666666666666,-32.57666666666667,21.4,35.54,3.35,100,Risen,37,"9, 133",0.253/091,220,1164.3,14,0.01202439233874431,0,0,0,0,6,1.2,0,0,2,0.05,8,1.25,2 polychaete worms (0.05mL),2,20,10.2,"17 porpita porpita (4.2mL), 3 siphonophores (6mL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,0,"Colorful tow with many porpita sp., one man of war, some shrimp, and large pholychaete worms.",0.119,0.008,-78.10927813217157
S285-034-NT,NA,NA,2019-04-19T11:21:00.000Z,2019-04-19T11:52:00.000Z,2019-04-19,11:21:00,NA,11,11:52:00,-157.145,-31.985,21.7,35.48,3.03,100,set,25,"14, 170",0.252/051,269,852.2,12,0.014081201595869513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Lighter tow with lots of gelatinous organisms, no big organisms or nekton, lots of snails and pteropods.",0.089,0.179,-82.63228695762776
S285-035-NT,NA,NA,2019-04-19T23:06:00.000Z,2019-04-19T23:37:00.000Z,2019-04-19,23:06:00,NA,11,23:37:00,-156.38833333333332,-31.346666666666668,21.6,35.46,4.08,98,risen,5,"22, 164",0.202/138,261,1855.5,3.5,0.001886284020479655,0,0,0,0,4,1,0,0,3,0.2,7,1.2,3 fish larvae (0.2 mL),6,2,0.7,2 vellela vellela (0.7 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Tow contained myctophids, halobates, gelatinous organisms and pink microscopic biomass",0.077,0.151,-80.61571848142216
S285-036-NT,NA,NA,2019-04-20T11:13:00.000Z,2019-04-20T11:43:00.000Z,2019-04-20,11:13:00,NA,11,11:43:00,-155.61166666666668,-30.875,21.9,35.57,3.08,98,Set,88,"15, 146",0.123/31,238,1545,0.6,3.8834951456310677e-4,0,0,0,0,0,0,0,0,1,0.1,1,0.1,1 Fish Larvae (.1ml),0,2,NA,2 Man o war (),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,"Mostly fish larvae, some gelatinous (man o wars), copepods and plant material.",0.119,0.001,-82.3041436400709
S285-037-NT,NA,NA,2019-04-20T23:27:00.000Z,2019-04-20T23:57:00.000Z,2019-04-20,23:27:00,NA,11,23:57:00,-154.84333333333333,-30.391666666666666,22.6,35.62,3.18,98,Risen,0,"15, 165",0.154/118,229,2523.16,10,0.003963284135766261,0,0,0,0,1,1,0,0,0,0,1,1,0,2,5,6,"4x vella vella, 3mL. 1x siphonophorE, 3mL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,0,"This was a super cool tow, we have found lots of cool things including 2 surface bugs, plastic, and a nudibranch, as well as a baby squid in the 100 count.",0.117,0.062,-80.89001898919298
S285-038-NT,NA,NA,2019-04-21T11:07:00.000Z,2019-04-21T11:37:00.000Z,2019-04-21,11:07:00,NA,11,11:37:00,-153.76,-29.931666666666665,22.5,35.49,2.92,95,Set,25,"5, 157",0.059/43,281,2343.73,221,0.09429413797664407,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1 Portuguese man o war (1.5ml) 3 Vellela Vellela (4ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,"Very gelatinous, lots of blue big things in rinse, very watery",0.096,-0.017,-81.53958055565371
S285-039-NT,NA,NA,2019-04-21T22:53:00.000Z,2019-04-21T23:23:00.000Z,2019-04-21,22:53:00,NA,10,23:23:00,-153.065,-29.125,22.6,35.54,3.54,89,Risen,50,"5, 100",0.432/292,163,1647.66,47,0.028525302550283432,0,0,0,0,1,0.05,0,0,1,0.5,2,0.55,1 Pteropod (.5ml),2,2,2,2 Vellela vellela (2ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Lots of brown floaty gunk in the rinse, with plenty of small creatures interspersed and in pristine. Two vellela vella and a large clio Pteropod.",0.067,0.039,-79.97000205608816
S285-040-NT,NA,NA,2019-04-22T11:14:00.000Z,2019-04-22T11:44:00.000Z,2019-04-22,11:14:00,NA,10,11:44:00,-152.61166666666668,-28.153333333333332,23.5,35.56,2.91,89,set,75,"2, 195",0.165/257,260,2025.3,61,0.030118994716832076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5 Vellela vellela (10ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,0,"Fascinating tow with 5 large Vellela sp. And many small ones. Few snails, lots of copepods",0.12,0,-81.97194574390744
S285-041-NT,NA,NA,2019-04-22T23:18:00.000Z,2019-04-22T23:49:00.000Z,2019-04-22,23:18:00,NA,10,23:49:00,-152.37,-27.366666666666667,23.7,35.64,3.14,89,risen,38,"12, 160",0.342/064,0,1678,7.6,0.004529201430274136,0,0,0,0,3,0.9,0,0,2,1,5,1.9,"2 vellela vellela (0.1 mL), 2 myctophids (0.0 mL) and 7 halobates",17,2,0.5,2 salps (0.5 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Many blue species, not too many gelatinous nekton. Most species were <1 cm.",0.975,-0.036,-79.10559200726695
S285-042-NT,NA,NA,2019-04-23T11:18:00.000Z,2019-04-23T11:48:00.000Z,2019-04-23,11:18:00,NA,10,11:48:00,-152.02333333333334,-26.365,24.2,35.57,2.93,81,set,70,"20, 164",0.345/0,259,1787.88,1.2,6.711859856366199e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Sparse tow, mostly small (<5 cm) gelatinous organisms and a few halobates.",0.081,0.473,-80.21291841938985
